EncounterWhispering_Title,"The Whispering Black Hole"
Encounter_TNG_Choice3_Result,"Your decision to observe the planet from a safe distance provides your civilization with a wealth of data on the temporal anomaly and its effects. While you're unable to directly assist the planet's inhabitants, the knowledge gained from your observations furthers your understanding of the space-time continuum and its potential dangers. This newfound understanding may prove useful in future encounters with other temporal anomalies or advanced civilizations. However, your decision to remain distant may be seen as a missed opportunity for forging alliances or acquiring advanced technology."
Encounter_Observatory_Title,"Ancient Stellar Observatory"
Encounter_Observatory_FlavorText,"Your survey ship stumbles upon an enigmatic structure floating in the depths of space. The massive construct is a millennia-old observatory, adorned with ornate celestial carvings and sophisticated instruments. The observatory appears to be of alien origin, meticulously crafted to study and record the movement of celestial bodies throughout the galaxy. It houses a vast collection of star charts and astronomical data that could potentially reveal the locations of hidden star systems and valuable resources."
Encounter_Observatory_Choice1,"Explore the observatory and attempt to decipher the star charts and data."
Encounter_Observatory_Choice2,"Establish a research outpost around the observatory to study its technology and secrets over time."
Encounter_Observatory_Choice3,"Leave the observatory untouched, marking its location for potential future investigations."
Encounter_Observatory_Choice1_Result,"Your crew delves into the depths of the ancient observatory, successfully deciphering the star charts and data. The newfound knowledge reveals several uncharted star systems, ripe for exploration and colonization. In addition, your civilization gains a deeper understanding of astronomical phenomena, providing an edge in navigating the vast expanse of space. However, your intrusion into the observatory may have disturbed its ancient guardians or drawn the attention of rival civilizations seeking to claim its secrets for themselves."
Encounter_Observatory_Choice2_Result,"By establishing a research outpost around the observatory, your civilization can study its technology and secrets at a measured pace. Over time, your scientists unlock the mysteries of the star charts and astronomical data, leading to the discovery of numerous hidden star systems and resources. Your commitment to understanding the observatory garners respect from other civilizations who share your passion for knowledge, potentially opening the door to new alliances and collaborations."
Encounter_Observatory_Choice3_Result,"Your decision to leave the ancient observatory untouched ensures that its secrets remain hidden, at least for now. While you do not gain any immediate benefits from the encounter, your actions demonstrate a respect for the unknown and the preservation of ancient knowledge. In future encounters, you may have another opportunity to explore the observatory, or learn that other civilizations have unlocked its secrets, potentially altering the balance of power in the galaxy."
Encounter_SeedVault_Title,"Galactic Seed Vault"
Encounter_SeedVault_FlavorText,"Your survey ship detects an immense, fortified structure hidden within an asteroid field. Upon closer inspection, the structure is revealed to be a vast, ancient seed vault, meticulously preserved and containing the genetic information of countless extinct or endangered species from across the galaxy. The seed vault represents a treasure trove of potential bio-engineering, terraforming, and ecosystem restoration opportunities. However, unlocking its secrets may also raise ethical questions and potentially disrupt the delicate balance of nature."
Encounter_SeedVault_Choice1,"Access the seed vault and retrieve samples of the genetic material for study and potential use."
Encounter_SeedVault_Choice2,"Establish a research outpost near the seed vault to study its contents and their potential applications over time."
Encounter_SeedVault_Choice3,"Leave the seed vault undisturbed, respecting the preservation of nature's delicate balance."
Encounter_SeedVault_Choice1_Result,"Your crew accesses the seed vault, carefully retrieving samples of the genetic material stored within. The samples are brought back to your civilization, where they are studied and used to develop groundbreaking bio-engineering, terraforming, and ecosystem restoration technologies. These advancements offer your civilization the ability to reshape planets and harness the power of nature itself. However, the use of this ancient knowledge may have unforeseen consequences on the natural order and could draw the ire of civilizations who believe in preserving nature's balance."
Encounter_SeedVault_Choice2_Result,"By establishing a research outpost near the seed vault, your civilization is able to study its contents and their potential applications in a responsible and measured manner. Over time, your scientists develop a deeper understanding of the genetic material stored within, leading to innovative bio-engineering, terraforming, and ecosystem restoration solutions. Your commitment to responsible research garners the respect of other civilizations who share your values, potentially fostering new alliances and collaborations."
Encounter_SeedVault_Choice3_Result,"Your decision to leave the seed vault undisturbed demonstrates a commitment to respecting the delicate balance of nature and the sanctity of the ancient repository. While your civilization does not gain any immediate benefits from the encounter, your actions may improve diplomatic relations with other civilizations who share your values. In future encounters, you may have another opportunity to study the seed vault, or learn that other civilizations have unlocked its secrets, potentially altering the balance of power in the galaxy."
Encounter_QuantumArchive_Title,"The Quantum Archive"
Encounter_QuantumArchive_FlavorText,"Your survey ship stumbles upon a mysterious, seemingly abandoned space station. Closer examination reveals it to be the Quantum Archive, an enigmatic data repository that holds the accumulated knowledge of a long-lost civilization. The archive's data is stored within quantum-entangled memory banks, encrypted with complex algorithms that challenge the limits of your civilization's understanding. Unlocking the secrets of the Quantum Archive could grant significant technological and cultural advancements, but doing so will require a considerable investment of time and resources."
Encounter_QuantumArchive_Choice1,"Decrypt the Quantum Archive's data and attempt to access its knowledge."
Encounter_QuantumArchive_Choice2,"Establish a research outpost near the archive to study its technology and secrets over time."
Encounter_QuantumArchive_Choice3,"Leave the Quantum Archive untouched, respecting the legacy of the long-lost civilization."
Encounter_QuantumArchive_Choice1_Result,"Your crew works tirelessly to decrypt the Quantum Archive's data, eventually unlocking its vast trove of knowledge. The information contained within offers your civilization unparalleled technological and cultural advancements, catapulting you to the forefront of galactic affairs. However, the sudden influx of power and knowledge may attract the attention of rival civilizations, who view your rapid ascension as a potential threat to the balance of power."
Encounter_QuantumArchive_Choice2_Result,"By establishing a research outpost near the Quantum Archive, your civilization can study its technology and secrets at a measured pace. Over time, your scientists gradually unlock the knowledge contained within, leading to steady technological and cultural advancements that fortify your position in the galaxy. Your commitment to responsible research garners respect from other civilizations who share your passion for knowledge, potentially opening the door to new alliances and collaborations."
Encounter_QuantumArchive_Choice3_Result,"Your decision to leave the Quantum Archive untouched ensures that the secrets of the long-lost civilization remain hidden. While you do not gain any immediate benefits from the encounter, your actions demonstrate a respect for the unknown and the preservation of ancient knowledge. In future encounters, you may have another opportunity to explore the Quantum Archive, or learn that other civilizations have unlocked its secrets, potentially altering the balance of power in the galaxy."
Encounter_CosmicArt_Title,"Cosmic Art Gallery"
Encounter_CosmicArt_FlavorText,"Your survey ship comes across a unique and awe-inspiring sight: a vast collection of cosmic art installations, created by various civilizations across the galaxy. Each piece provides unique insights into the culture, history, and perspectives of its creators, offering your civilization an unparalleled opportunity to learn about the diverse inhabitants of the galaxy. The Cosmic Art Gallery could serve as a symbol of unity and understanding, or a catalyst for conflict, depending on how its treasures are approached and utilized."
Encounter_CosmicArt_Choice1,"Study the art installations and attempt to learn from their cultural and historical insights."
Encounter_CosmicArt_Choice2,"Establish a cultural outpost near the gallery to promote interstellar understanding and diplomacy."
Encounter_CosmicArt_Choice3,"Leave the Cosmic Art Gallery untouched, respecting the creations of other civilizations."
Encounter_CosmicArt_Choice1_Result,"Your crew studies the art installations, gaining a wealth of knowledge about the cultures and histories of various galactic civilizations. This newfound understanding provides a diplomatic advantage, fostering stronger relations with other civilizations and helping to navigate complex interstellar politics. However, your actions may be seen as an intrusion by some civilizations, who may view your interest in their cultural heritage as a threat to their sovereignty or a violation of their privacy."
Encounter_CosmicArt_Choice2_Result,"By establishing a cultural outpost near the Cosmic Art Gallery, your civilization promotes interstellar understanding and diplomacy. The outpost serves as a hub for cultural exchange, fostering new alliances and collaborations between civilizations. Your commitment to peace and understanding garners respect from other civilizations who share your values. However, some may see the outpost as an attempt to control or manipulate the cultural narrative, potentially causing tensions or rivalries."
Encounter_CosmicArt_Choice3_Result,"Your decision to leave the Cosmic Art Gallery untouched demonstrates respect for the creations and cultural heritage of other civilizations. While your civilization does not gain any immediate benefits from the encounter, your actions may improve diplomatic relations with other civilizations who share your values. In future encounters, you may have another opportunity to explore the Cosmic Art Gallery, or learn that other civilizations have taken an interest in its treasures, potentially altering the balance of power in the galaxy."
Encounter_DriftingDerelict_Title,"The Drifting Derelict"
Encounter_DriftingDerelict_FlavorText,"Your survey ship detects a massive, abandoned spaceship of unknown origin, drifting aimlessly through the void of space. The derelict vessel appears to be ancient, yet its technology is far more advanced than anything your civilization has encountered. Within the ship's dark corridors, you discover valuable resources, advanced technology, and perhaps even a dormant artificial intelligence with knowledge of the ship's creators. The Drifting Derelict presents an opportunity for immense technological advancement, but exploring its depths may also awaken long-dormant dangers or provoke the ire of rival civilizations."
Encounter_DriftingDerelict_Choice1,"Explore the derelict ship and attempt to salvage its technology and resources."
Encounter_DriftingDerelict_Choice2,"Establish a research outpost near the derelict ship to study its secrets over time."
Encounter_DriftingDerelict_Choice3,"Leave the derelict ship untouched, respecting the sanctity of its creators' legacy."
Encounter_DriftingDerelict_Choice1_Result,"Your crew ventures into the depths of the derelict ship, salvaging its advanced technology and valuable resources. The discoveries made aboard the vessel provide your civilization with a significant boost in technological capabilities and military power. However, the exploration may have awakened long-dormant dangers lurking within the ship, or attracted the attention of rival civilizations seeking to claim the derelict's secrets for themselves."
Encounter_DriftingDerelict_Choice2_Result,"By establishing a research outpost near the derelict ship, your civilization can study its technology and secrets at a measured pace. Over time, your scientists unlock the mysteries of the advanced vessel, leading to steady technological advancements that bolster your position in the galaxy. Your commitment to responsible research garners respect from other civilizations who share your values, potentially fostering new alliances and collaborations."
Encounter_DriftingDerelict_Choice3_Result,"Your decision to leave the derelict ship untouched ensures that its secrets remain hidden, preserving the legacy of its creators. While you do not gain any immediate benefits from the encounter, your actions demonstrate a respect for the unknown and the sanctity of ancient knowledge. In future encounters, you may have another opportunity to explore the derelict ship, or learn that other civilizations have unlocked its secrets, potentially altering the balance of power in the galaxy."
Encounter_AnomalousZone_Title,"Anomalous Zone of Silence"
Encounter_AnomalousZone_FlavorText,"Your survey ship detects a peculiar region of space where all communication signals seem to vanish without explanation. This Anomalous Zone of Silence poses a fascinating scientific enigma and a potential strategic asset, as any activities within the zone remain undetectable to outside observers. Studying the zone could provide valuable insights into the nature of space-time, advanced stealth technology, or even reveal the existence of a hidden civilization. However, delving into the mysteries of the Anomalous Zone may also come with risks, as the silence could be hiding unforeseen threats or provoke a race to control the zone among rival civilizations."
Encounter_AnomalousZone_Choice1,"Investigate the Anomalous Zone and attempt to uncover its secrets."
Encounter_AnomalousZone_Choice2,"Establish a research outpost near the zone to study its properties and potential applications over time."
Encounter_AnomalousZone_Choice3,"Leave the Anomalous Zone undisturbed, respecting the unknown forces at play."
Encounter_AnomalousZone_Choice1_Result,"Your crew ventures into the Anomalous Zone, conducting experiments and observations in an attempt to uncover its secrets. The data gathered within the zone leads to breakthroughs in your civilization's understanding of space-time and the development of advanced stealth technology. However, your activities within the zone may have attracted the attention of hidden forces or rival civilizations, who now seek to control the Anomalous Zone for their own purposes."
Encounter_AnomalousZone_Choice2_Result,"By establishing a research outpost near the Anomalous Zone, your civilization can study its properties and potential applications at a measured pace. Over time, your scientists develop a deeper understanding of the zone's unique properties, leading to advancements in stealth technology and the discovery of new scientific phenomena. Your commitment to responsible research garners respect from other civilizations who share your values, potentially fostering new alliances and collaborations."
Encounter_AnomalousZone_Choice3_Result,"Your decision to leave the Anomalous Zone undisturbed demonstrates a respect for the unknown forces at play and the potential dangers they may harbor. While your civilization does not gain any immediate benefits from the encounter, your actions may improve diplomatic relations with other civilizations who share your values. In future encounters, you may have another opportunity to explore the Anomalous Zone, or learn that other civilizations have uncovered its secrets, potentially altering the balance of power in the galaxy."
Encounter_PlanetaryIncubator_Title,"Planetary Incubator"
Encounter_PlanetaryIncubator_FlavorText,"Your survey ship discovers a hidden facility of unknown origin, designed to nurture and accelerate the development of habitable planets. The Planetary Incubator offers your civilization the opportunity to colonize new worlds more rapidly, utilizing advanced terraforming and bio-engineering technologies to create ideal living conditions. However, the use of the incubator raises ethical questions and concerns about the implications of manipulating planetary evolution. Exploiting the Planetary Incubator could bring about significant rewards, but may also provoke conflict or disrupt the delicate balance of nature."
Encounter_PlanetaryIncubator_Choice1,"Activate the Planetary Incubator and use its technology to accelerate the development of habitable planets."
Encounter_PlanetaryIncubator_Choice2,"Establish a research outpost near the facility to study its technology and potential applications over time."
Encounter_PlanetaryIncubator_Choice3,"Leave the Planetary Incubator untouched, respecting the natural course of planetary evolution."
Encounter_PlanetaryIncubator_Choice1_Result,"Your crew activates the Planetary Incubator, using its advanced technology to accelerate the development of habitable planets. This enables your civilization to expand more rapidly, claiming new worlds and resources across the galaxy. However, the use of the incubator draws criticism and concern from other civilizations, who question the ethical implications of manipulating planetary evolution. Your actions may provoke conflict or disrupt the delicate balance of nature, leading to unforeseen consequences."
Encounter_PlanetaryIncubator_Choice2_Result,"By establishing a research outpost near the Planetary Incubator, your civilization can study its technology and potential applications at a measured pace. Over time, your scientists develop a deeper understanding of the incubator's capabilities, leading to innovative terraforming and bio-engineering solutions. Your commitment to responsible research garners respect from other civilizations who share your values, potentially fostering new alliances and collaborations."
Encounter_PlanetaryIncubator_Choice3_Result,"Your decision to leave the Planetary Incubator untouched demonstrates a commitment to respecting the natural course of planetary evolution and the delicate balance of nature. While your civilization does not gain any immediate benefits from the encounter, your actions may improve diplomatic relations with other civilizations who share your values. In future encounters, you may have another opportunity to study the Planetary Incubator, or learn that other civilizations have unlocked its secrets, potentially altering the balance of power in the galaxy."
Encounter_InterstellarColosseum_Title,"Interstellar Colosseum"
Encounter_InterstellarColosseum_FlavorText,"Your survey ship stumbles upon an awe-inspiring structure in the depths of space: an Interstellar Colosseum. This massive arena, built by an unknown civilization, serves as a gathering place for various species across the galaxy to engage in combat, sport, and other competitive events. Participating in the Colosseum's contests could bring your civilization fame, glory, and valuable alliances, but may also expose your people to great danger and provoke rivalries among the galaxy's inhabitants. The Interstellar Colosseum presents a unique opportunity to showcase your civilization's prowess and engage with the wider galactic community."
Encounter_InterstellarColosseum_Choice1,"Participate in the Colosseum's contests and strive for glory."
Encounter_InterstellarColosseum_Choice2,"Establish a diplomatic outpost near the Colosseum to foster relationships with other participating civilizations."
Encounter_InterstellarColosseum_Choice3,"Leave the Interstellar Colosseum untouched, respecting the traditions and contests of other civilizations."
Encounter_InterstellarColosseum_Choice1_Result,"Your crew decides to participate in the Colosseum's contests, showcasing the strength and skill of your civilization. Your victories in the arena bring fame, glory, and valuable alliances with other participating civilizations. However, these triumphs may also provoke rivalries and resentment among those you have defeated, potentially leading to conflict or strained diplomatic relations in the future."
Encounter_InterstellarColosseum_Choice2_Result,"By establishing a diplomatic outpost near the Interstellar Colosseum, your civilization can foster relationships with other participating civilizations without directly engaging in the contests. Your commitment to diplomacy and peaceful engagement garners respect from other civilizations who share your values, potentially fostering new alliances and collaborations. However, some may view your decision to abstain from the contests as a sign of weakness, potentially undermining your position in the galaxy."
Encounter_InterstellarColosseum_Choice3_Result,"Your decision to leave the Interstellar Colosseum untouched demonstrates a respect for the traditions and contests of other civilizations. While your civilization does not gain any immediate benefits from the encounter, your actions may improve diplomatic relations with other civilizations who share your values. In future encounters, you may have another opportunity to engage with the Interstellar Colosseum or learn that other civilizations have reaped the rewards of participating, potentially altering the balance of power in the galaxy."
Encounter_CrystallineEntity_Title,"Crystalline Entity"
Encounter_CrystallineEntity_FlavorText,"Your survey ship encounters a massive and enigmatic crystalline lifeform drifting through space. This Crystalline Entity absorbs energy from stars, leaving a trail of devastation in its wake. Studying the entity could lead to groundbreaking scientific discoveries and a better understanding of the galaxy's diverse lifeforms. However, interacting with the Crystalline Entity may provoke a violent response or reveal the existence of other, potentially hostile, cosmic beings."
Encounter_CrystallineEntity_Choice1,"Attempt to study the Crystalline Entity, seeking to learn from its unique biology and energy absorption."
Encounter_CrystallineEntity_Choice2,"Establish a research outpost at a safe distance to observe the Crystalline Entity's behavior and movements over time."
Encounter_CrystallineEntity_Choice3,"Steer clear of the Crystalline Entity, respecting its potential dangers and the unknown consequences of contact."
Encounter_CrystallineEntity_Choice1_Result,"Your crew attempts to study the Crystalline Entity, venturing dangerously close to the massive lifeform. While your efforts yield valuable scientific data and insights into the entity's unique biology and energy absorption, the interaction provokes a violent response from the creature. Your civilization must now contend with the ramifications of this encounter and the potential emergence of other cosmic beings."
Encounter_CrystallineEntity_Choice2_Result,"By establishing a research outpost at a safe distance, your civilization can observe the Crystalline Entity's behavior and movements over time. The data collected from these observations leads to new scientific breakthroughs and a better understanding of the galaxy's diverse lifeforms. Your cautious approach garners respect from other civilizations who share your values, potentially fostering new alliances and collaborations."
Encounter_CrystallineEntity_Choice3_Result,"Your decision to steer clear of the Crystalline Entity demonstrates a respect for the potential dangers and unknown consequences of contact with such a unique lifeform. While your civilization does not gain any immediate benefits from the encounter, your actions may improve diplomatic relations with other civilizations who share your values. In future encounters, you may have another opportunity to study the Crystalline Entity, or learn that other civilizations have unlocked its secrets, potentially altering the balance of power in the galaxy."
Encounter_SpacefaringNomads_Title,"Spacefaring Nomads"
Encounter_SpacefaringNomads_FlavorText,"Your survey ship comes across a fleet of wandering, nomadic ships housing an entire civilization that has developed unique technology and customs from their life among the stars. The Spacefaring Nomads offer a rare opportunity to exchange knowledge, resources, and cultural insights with a truly unique society. Engaging with the nomads could bring about mutual benefits and lasting friendships, but may also expose your civilization to unforeseen risks or diplomatic challenges."
Encounter_SpacefaringNomads_Choice1,"Establish diplomatic relations with the Spacefaring Nomads and propose a cultural exchange."
Encounter_SpacefaringNomads_Choice2,"Trade with the Spacefaring Nomads, seeking to acquire their unique technology and resources."
Encounter_SpacefaringNomads_Choice3,"Observe the Spacefaring Nomads from a distance, avoiding contact and potential complications."
Encounter_SpacefaringNomads_Choice1_Result,"Your crew establishes diplomatic relations with the Spacefaring Nomads, leading to a fruitful cultural exchange. This collaboration enriches your civilization's knowledge and fosters a lasting friendship with the nomadic society. However, your alliance with the nomads may draw attention from other civilizations, who may view the nomads with suspicion or seek to exploit their unique technology."
Encounter_SpacefaringNomads_Choice2_Result,"By engaging in trade with the Spacefaring Nomads, your civilization acquires unique technology and resources, bolstering your capabilities and economic power. However, your transactions with the nomads may also expose your people to unforeseen risks, as their technology and customs have been developed in isolation from the rest of the galaxy. Balancing the potential rewards and risks of this exchange will be crucial to your civilization's future."
Encounter_SpacefaringNomads_Choice3_Result,"Your decision to observe the Spacefaring Nomads from a distance demonstrates a cautious approach, avoiding contact and potential complications. While your civilization does not gain any immediate benefits from the encounter, your actions may improve diplomatic relations with other civilizations who share your values. In future encounters, you may have another opportunity to engage with the Spacefaring Nomads, or learn that other civilizations have formed alliances or conflicts with the nomadic society, potentially altering the balance of power in the galaxy."
Encounter_CosmicMenagerie_Title,"Cosmic Menagerie"
Encounter_CosmicMenagerie_FlavorText,"Your survey ship, in an incredibly improbable and mildly amusing turn of events, discovers a space station dedicated to preserving and studying a collection of exotic, genetically-engineered creatures from across the galaxy. The Cosmic Menagerie is run by a peculiar and eccentric curator, who is absolutely delighted to share his passion for the rare and bizarre lifeforms in his care. Venturing into the menagerie presents an opportunity to gain insights into the galaxy's diverse biosphere and perhaps even adopt some of these unique creatures. However, meddling with the delicate balance of the Cosmic Menagerie could lead to unexpected consequences, and the galaxy is, after all, a big enough place without adding more strange creatures to the mix."
Encounter_CosmicMenagerie_Choice1,"Explore the Cosmic Menagerie and learn from the curator's expertise."
Encounter_CosmicMenagerie_Choice2,"Offer to exchange specimens from your own civilization for creatures in the menagerie."
Encounter_CosmicMenagerie_Choice3,"Politely decline the curator's invitation, and leave the Cosmic Menagerie as an amusing footnote in your survey logs."
Encounter_CosmicMenagerie_Choice1_Result,"Your crew explores the Cosmic Menagerie, guided by the enthusiastic curator. The dazzling array of strange creatures and the curator's expertise offer invaluable insights into the galaxy's diverse biosphere. Your civilization's scientists eagerly incorporate these new findings, leading to potential innovations in biotechnology and even fashion. However, the universe being the unpredictable place it is, who knows what other curiosities or dangers may have been inadvertently unleashed?"
Encounter_CosmicMenagerie_Choice2_Result,"Your civilization proposes an exchange of specimens, adding to the Cosmic Menagerie's eclectic collection and acquiring some of the more exotic creatures in return. While these new additions to your civilization's fauna may lead to scientific breakthroughs and become the talk of galactic social events, they may also upset the delicate balance of your own ecosystems. One can only hope that the creatures' odd quirks won't cause any more trouble than the occasional misplaced shoe or missing hat."
Encounter_CosmicMenagerie_Choice3_Result,"Your decision to politely decline the curator's invitation and leave the Cosmic Menagerie as an amusing footnote in your survey logs demonstrates a respect for the galaxy's existing oddities and a sensible reluctance to add more chaos to the mix. While your civilization does not gain any immediate benefits from the encounter, your actions may improve diplomatic relations with other civilizations who share your values or simply appreciate a good joke. In future encounters, you may have another opportunity to visit the Cosmic Menagerie, or learn that other civilizations have embraced the wonders of the universe's peculiar menagerie, for better or for worse."
Encounter_DrenginFugitive_Title,"Drengin Fugitive"
Encounter_DrenginFugitive_FlavorText,"In a peculiar twist of fate that could only happen in the vast, whimsical cosmos, your survey ship encounters a fugitive from the Drengin Empire who claims to be seeking asylum. The fugitive, a disarmingly charming individual who would look right at home on the cover of an interstellar crime novel, spins a thrilling tale of intrigue, betrayal, and secret family recipes. Offering sanctuary to the fugitive could provide valuable insights into the Drengin Empire's inner workings and potentially weaken their position in the galaxy. However, harboring a fugitive may also strain diplomatic relations, and there's always the lingering question of whether the charming rogue can truly be trusted, or if they might just sneak off with your best bottle of interstellar wine."
Encounter_DrenginFugitive_Choice1,"Offer sanctuary to the fugitive and hope that their knowledge of the Drengin Empire proves useful."
Encounter_DrenginFugitive_Choice2,"Detain the fugitive and attempt to negotiate their return to the Drengin Empire in exchange for diplomatic concessions."
Encounter_DrenginFugitive_Choice3,"Politely decline the fugitive's request for asylum, and send them on their way with a friendly wave and perhaps a map to the nearest uncharted nebula."
Encounter_DrenginFugitive_Choice1_Result,"You decide to offer sanctuary to the charming Drengin fugitive, who, as promised, provides valuable insights into the Drengin Empire's inner workings. Their knowledge proves useful in undermining the Drengin's position in the galaxy, but also strains diplomatic relations. While you've made an ally in the fugitive, it remains to be seen whether their loyalties will stay true or if they'll make off with your prized collection of cosmic curiosities when you least expect it."
Encounter_DrenginFugitive_Choice2_Result,"By detaining the fugitive and attempting to negotiate their return to the Drengin Empire, you walk a fine diplomatic tightrope. The Drengin grudgingly agree to some minor concessions in exchange for the fugitive's return, but you can't help but feel a pang of guilt for sending the charming rogue back to face their fate. The universe, it seems, has a way of balancing the scales, and one day you might find yourself in need of a charming rogue to save the day."
Encounter_DrenginFugitive_Choice3_Result,"Politely declining the fugitive's request for asylum, you send them on their way with a friendly wave and a hastily scribbled map to the nearest uncharted nebula. While you've avoided the potential complications of harboring a fugitive, the galaxy is full of strange twists and turns, and you can't help but wonder if your paths will cross again someday, perhaps over a shared cup of improbably good tea."
Encounter_FrozenHeist_Title,"Frozen Heist"
Encounter_FrozenHeist_FlavorText,"As the universe is wont to do when it tires of its usual cosmic shenanigans, your survey ship stumbles upon a frozen starship that appears to have been the scene of a heist gone awry. The unfortunate crew lies lifeless among a treasure trove of Durantium as well as valuable baubles that would surely make any cosmic connoisseur's heart flutter. However, it quickly becomes apparent that the original owner of this loot is the [MAJOR_CIV] who would likely prefer their belongings returned, rather than scattered across the galaxy like some kind of celestial yard sale."
Encounter_FrozenHeist_Choice1,"Return the space goodies to their rightful owner, demonstrating integrity and diplomacy."
Encounter_FrozenHeist_Choice2,"Salvage the loot, hoping that the [MAJOR_CIV] won't notice or mind."
Encounter_FrozenHeist_Choice1_Result,"Your decision to return the space goodies to their rightful owner showcases your civilization's integrity and diplomatic finesse."
