Label,String
MasterTech_ExoticArmorMaterials_ShortDec,Advancements in materials technology provides us with lighter and stronger Armor.
MasterTech_NullPointArmor_ShortDec,Advancements in materials technology provides us with lighter and stronger Armor.
MasterTech_TemperedArmor_ShortDec,Advancements in materials technology provides us with lighter and stronger Armor.
MasterTech_EnergyDissipationStrategies_ShortDec,"By deflecting the incoming energy, our Shields have less to resist."
MasterTech_EnergyShields_ShortDec,Advancements in energy technology provides us with stronger shields.
MasterTech_ShieldEnhancements_ShortDec,Advancements in energy technology provides us with stronger shields.
MasterTech_ShieldRegeneration_ShortDec,Advancements in energy technology provides us with stronger shields.
MasterTech_ShieldAugmentation_ShortDec,Advancements in energy technology provides us with stronger shields.
MasterTech_GravimetricShields_ShortDec,Advancements in energy technology provides us with stronger shields.
MasterTech_ShieldFrequencyModulation_ShortDec,Advancements in energy technology provides us with stronger shields.
MasterTech_ShieldFocusAdaption_ShortDec,Advancements in energy technology provides us with stronger shields.
MasterTech_InvulnerabilityShields_ShortDec,Advancements in energy technology provides us with stronger shields.
MasterTech_ShieldHarmonics_ShortDec,Advancements in energy technology provides us with stronger shields.
MasterTech_PlanetaryDefenses_Dec,"If we can better anchor our planetary defenses, it will make our worlds far tougher to invade. This provides improved defensive firepower, and allow greater coordination and structure for the rest of our defensive systems."
Commander_Korath1_Name,Swift Scourge
Event_0x7AC5_Terraformer_Dec,"{LEADERNAME}, a renowned terraformer in your civilization, is responsible for the accidental creation of a new form of life while working on a terraforming project. This new life form is an intelligent and rapidly evolving species.[BR][BR]As the entities develop and display crude forms of sentience, your advisors are divided on how to approach this situation. Some argue that we should study and learn from the creations and incorporate them into the general population, while others fear the potential threat they might pose to our civilization."
Quest_ReligiousFreedom_Tolerance_Liberty_String0,You incited disorder in our civilization
Quest_DrenginPrison_Dec,"We've discovered the remains of an alien prison ship within the debris field. The crew was killed in an attack, but some of the prisoners - including one that calls themself a Drengin - survived within the ship's hold.[BR][BR]We could repair the ship, which would serve as a workable Colony Ship and turn it over to the crew, but many people might question the wisdom of inviting a group of Drengin criminals to join our civilization. Many, many people.[BR][BR]What are your orders?"
Quest_DrenginPrison_ShortDec,"An alien prison ship is found with surviving prisoners, including a Drengin. Repairing the ship creates a Colony Ship, but inviting Drengin criminals to join our civilization raises concerns. What are your orders?"
Quest_DrenginPrison_Drengin_Dec,"We've discovered the remains of an alien prison ship within the debris field. The crew was killed in an attack, but some of the prisoners survived within the ship's hold. One of these prisoners is of a species known as the Drengin.[BR][BR]We could repair the ship, which would serve as a workable Colony Ship and turn it over to the crew, but many people might question the wisdom of inviting a group criminals to join our civilization. Many, many people.[BR][BR]What are your orders?"
Quest_DrenginPrison_Drengin_ShortDec,"An alien prison ship with surviving prisoners, including a Drengin, is found. Repairing the ship creates a Colony Ship, but inviting criminals to join our civilization raises concerns. What are your orders?"
Quest_XeloxiSmugglers_Dec,"A band of Xeloxi smugglers have crashed their ship here. They have little power left in their ship, barely enough to maintain life support, and are desperate for food and medical supplies.[BR][BR]The Xeloxi are vague about what led them here, though it's difficult to tell if this is because of some illicit behavior or if it's simply part of Xeloxi culture.[BR][BR]We can easily provide the food and supplies the Xeloxi need. But with that, and a little extra convincing, they may be willing to abandon their ship and join our civilization entirely.[BR][BR]What should we do?"
Quest_XeloxiSmugglers_ShortDec,Crashed Xeloxi smugglers are desperate for food and medical supplies. Their reasons for being here are vague. We can provide the supplies and possibly convince them to abandon their ship and join our civilization. What should we do?
Miners1_Dec,Increases output from asteroid mining.
PresetCategory_Undeclared_Name,Unclassified
PresetCategory_Undeclared_Dec,A ship with no specialization or restriction.
NEW_DESIGN_BENEFITS_LABEL_Undeclared,No class bonuses
NEW_DESIGN_SPECS_LABEL_Undeclared,Abilities defined by its components
Tiny_Name,Tiny
Small_Name,Small
Medium_Name,Medium
Large_Name,Large
Huge_Name,Huge
STATNAME_ColonySponsorDecayMod,Supply Attrition
STATNAME_Social,[ICON=LeaderStat_Social_Icon] Social Skills
MODS_OFFLINE,Workshop is currently unavailable. Please try again later.
DURATIONALTRADE_LABEL,per Month
SHIP_DESIGNER_CATEGORY_Undeclared,Unclassified Ships
PRIMED_UP_BODY_LABEL,The United Planets will be gathering in %d Months.
CANNOT_RUSH_ALREADY_RUSHED,Already used rush this Month.
DEMAND_TRIBUTE_TOOLTIP_DETAIL,Create a treaty with this civilization where you receive %.1f credits per Month for %d %s.
OFFER_FOREIGN_AID_TOOLTIP_DETAIL,Create a treaty with this civilization where you pay %.1f credits per Month for %d %s.
DIPLOMACYWND_CREDITS_MOUSEOVER_DURATIONAL,Set up a Monthly credit transfer.
PersonalityType_TotalitarianismPerTurn,[ICON=Authority_Icon] Totalitarianism per Month
PersonalityType_PacifismPerTurn,[ICON=Calm_Icon] Benevolence per Month
PersonalityType_Desc_PacifismPerTurn,[ICON=Compassion_Icon] Pacifism per Month
PersonalityType_NihilismPerTurn,[ICON=Cruelty_Icon] Nihilism per Month
PersonalityType_IndividualismPerTurn,[ICON=Diversity_Icon] Individualism per Month
PersonalityType_CollectivismPerTurn,[ICON=Equality_Icon] Collectivism per Month
PersonalityType_ProgressivismPerTurn,[ICON=Innovation_Icon] Innovation per Month
PersonalityType_EgalitarianismPerTurn,[ICON=Egalitarianism_Icon] Egalitarianism per Month
PersonalityType_TraditionalismPerTurn,[ICON=Tradition_Icon] Traditionalism per Month
INFLUENCE_TOOLTIP_GROWTH_LABEL,[ICON=Stat_Influence_Icon]  Influence growth per Month
INVASION_STATUS_EFFECT_FORMAT,%s %d%% for %d Months.
ALERT_UPGoingToMeet,The United Planets will be meeting in %ld Months.
DIPLOMACYREPORT_TURNSATWAR,Number of Months At War
INTERACTION_WND_ITEM_DURATION_TOOLTIP,For %ld Months
INTERACTION_WND_PEACETREATY_DURATION_TOOLTIP,Cannot redeclare war for %ld Months.
TREATYAGREEMENTS_DURATION_FORMAT,%ld Months
INVASION_PROJECTED_DURATION,It will take %d Months to conquer this world.
TechDef_Tooltip_UPResolution_Prohibited,[COLOR=BrightRed]Researching this tech has been prohibited by the %s UP resolution for %ld more Months.[/COLOR]
TURNS_OWNED_LABEL,Months owned: 
Undeclared,Unclassified
Undeclared_Desc,Unclassified ship class. Does not get any class specific bonuses.
INTERACTION_WND_DISABLE_TREATY_RELATIONSHIP_LENGTH,"Must know the other Civilization for at least %ld Months, you've known them for %ld."
Espionage_Point_Per_Turn_Title,[ICON=Stat_Manufacturing_Icon] Espionage per Month
NEXT_LEVEL_FORMAT_SHORT,Next Level in -- %i Months
DemandCreditsPerTurn,Demand Credits per Month
BasePollutionPerTurn_Desc,Base Pollution per Month
PlanetWnd_Next_Citizen_Label_Plural,Next Citizen - {AMOUNT} Months
PlanetWnd_Next_Citizen_Label,Next Citizen - {AMOUNT} Month
PlanetWnd_Next_Citizen_Label_Negative_Plural,Losing Citizen - {AMOUNT} Months
PlanetWnd_Next_Citizen_Label_Negative,Losing Citizen - {AMOUNT} Month
IdeologyProgressivism_Effect_Format,%s per Month
SEIZE_GOODS_DESC,"[COLOR=UIDefaultHighlight][B]Seize Goods[/B][/COLOR][BR]Claiming citizen goods is great for our treasury, but unappreciated by our citizens.[BR][BR]-4 Control[BR]+200 Credits[BR]-3% Approval for 40 Months"
FESTIVAL_DESC,[COLOR=UIDefaultHighlight][B]Festival[/B][/COLOR][BR]A planetwide festival will distract our citizens from other concerns.[BR][BR]-2 Control[BR]-400 Credits[BR]+8% Approval for 20 Months[BR]+1% Crime
QUELL_PROTEST_DESC,"[COLOR=UIDefaultHighlight][B]Quell Protest[/B][/COLOR][BR]With enough control, protests can be broken by force.[BR][BR]-10 Control[BR]Halts all protests[BR]+10% Approval for 10 Months"
GOVERNMT_CHANGE_TURNS_COUNTDOWN,{AMOUNT} Months until you can change government types.
GovernmentUntilChangeLabel,[ICON=Stat_Planet_Class_Icon] Months Until Can Change
GovernmentNextElectionLabel,[ICON=Stat_Population_Icon] Months Until Election
CHANGE_GOVERNMENT_CONFIRM_MSG,"Once changed, you will have to wait {VALUE} Months before you can change it again. Are you sure?"
Concept_PromethionBorn_Dec,Promethion Born citizens contribute 0.4 [HS=HS_Growth]Growth[/HS] per Month plus an additional 0.006 Growth per Promethion their civilization has stored.[BR][BR]With 100 Promethion stored they have the same Growth rate as other species (1 per Month). With about 266 Promethion stored they would have double the Growth rate of other species. With no Promethion stored they will just have their base of 0.4 Growth per Month.
Concept_OnyxHiveGrowth_Dec,Silicon citizens contribute 0.4 [HS=HS_Growth]Growth[/HS] per Month plus an additional 0.006 Growth per Promethion their civilization has stored.[BR][BR]With 100 Promethion stored they have the same Growth rate as other species (1 per Month). With about 266 Promethion stored they would have double the Growth rate of other species. With no Promethion stored they will just have their base of 0.4 Growth per Month.
Concept_Taxes_Dec,"Your Tax Rate determines what percentage of your world's [HS=HS_ColonyGrossIncome]Income[/HS] goes into the government treasury. The higher it is, the more [HS=HS_Credit]Credits[/HS] will be earned per Month. But, raising it lowers your citizens' [HS=HS_Approval]Approval[/HS] of you.[BR][BR]You can modify your Tax Rate on the Policy screen."
Concept_Week_Dec,Each turn represents a Month of game time.
PersuadeEffect_Supernova,[COLOR=UIDefaultHot]Your persuasion ability will make your trade appear to be worth {AMOUNT}% more valuable but cannot be used again for {VALUE} Months.[/COLOR]
AbilityError_PrecludeXTurns,Cannot use another ability for %ld Months.
AbilityError_InCooldown,In cooldown for {VALUE} more Months.
ALERT_ImminentElectionFormat,In {VALUE} Month(s) an election will decide if we reform the government.
RESOURCE_AGREEMENT_FORMAT,{AMOUNT} {STATNAME} per Month
PolicyWndPlanetOutput_Research_Desc,Research points per Month generated by planets.
PolicyWndPlanetOutput_Income_Desc,"Total credits per Month provided by planets, available to be put towards Monthly expenses or the treasury."
PolicyWndPlanetOutput_Influence_Desc,Amount our influence grows per Month across all of our planetary zones of control.
TechLibraryNumTurnsToResearchTooltip,How many Months it will take to research this tech
TRADE_OFFER_CREDITS_PER_MONTH_DESC,%d credits per Month
Concept_CulturePoint_Dec,"Cultural points allow us to select a new cultural trait. Our capital generates 1 cultural point per Month. We can gain additional points via events, special improvements, etc."
ResearchTurnsRemaining,%d Months(s) to complete research
AwardTech_Format,Grants {TECHNAME} Tech
ReturnOfKorath_CampaignDec,"The year 2317 heralds the ominous resurgence of the Korath Clan amidst galactic turmoil. [BR][BR]In the annals of the Drengin Empire, the Korath have etched a name for themselves as the epitome of brutality - the quintessential shock troops. Their presence in battle, marked by unprecedented ferocity and a ruthless penchant for destruction, has long been a harbinger of dread. The Korath harbor a zealous belief in the absolute supremacy of the Drengin, viewing all other forms of life as not only inferior but as existential blights unworthy of existence. This extremist ideology sets them apart, even from the Drengin Empire, known for subjugating rather than annihilating perceived inferiors. Such radical divergence in philosophy eventually led to the Korath's estrangement from the Empire. Further distinguishing themselves, the Korath underwent a sinister transformation after their encounters with the enigmatic Dread Lords, emerging as beings who not only believed themselves to be the pinnacle of Drengin evolution but also as harbingers of annihilation for all other species, including their former Drengin brethren."
Campaign_ReturnOfKorath_Overall,Exterminate the other civilizations
