Label,String
Event_AIFindings_0xA3B2_Name,Discovery of AI Planetary Monitor Plans
Event_AIFindings_0xA3B2_Desc,Your flagship has come across ancient plans for a semi-sentient AI designed to monitor and reduce crime on planets.
Event_AIFindings_Choice_Use_Desc,Implement the AI Planetary Monitor to reduce crime on a selected planet.
Event_AIFindings_Choice_Use_Details,"By implementing these AI plans, we can significantly reduce crime rates, leading to a safer and more productive colony."
Event_AIFindings_Choice_Sell_Desc,Sell the plans for a substantial amount of credits.
Event_AIFindings_Choice_Extract_Desc,Extract resources from the discovery instead of using the plans.
Event_CoreTapDiscovery_0x9D5_Name,Discovery of Core Tap Plans
Event_CoreTapDiscovery_0x9D5_Desc,"Our fleet has uncovered abandoned plans and a unique power source for a Core Tap, a device capable of harnessing the energy of a planet's core. This find presents us with several lucrative options."
Event_CoreTapDiscovery_Choice_Build_Desc,Secure the plans.
Event_CoreTapDiscovery_Choice_Build_Details,"Using the plans and power source, we can build a Core Tap on our core worlds, greatly enhancing our production capabilities. This advanced technology could give us a significant advantage but may also carry unknown risks."
Event_CoreTapDiscovery_Choice_Sell_Desc,Sell the Plans and Power Source
Event_CoreTapDiscovery_Choice_Sell_Details,"By selling the plans and power source, we could make a substantial profit immediately. This option provides a financial boost but forfeits the opportunity to potentially revolutionize our energy infrastructure."
Event_CoreTapDiscovery_Choice_Extract_Desc,Extract Resources from the Power Source
Event_CoreTapDiscovery_Choice_Extract_Details,"Extracting the raw resources from the unique power source could yield valuable materials for our current projects, offering an immediate practical benefit but losing the potential of the Core Tap technology."
Event_AncientLibrarySatellite_0xB3E_Name,Ancient Library Satellite Discovered
Event_AncientLibrarySatellite_0xB3E_Desc,"Our flagship has stumbled upon a derelict satellite, an ancient library filled with unknown knowledge. Its origins and contents are a mystery, and it presents a unique opportunity to uncover lost secrets or technological advancements."
Event_AncientLibrarySatellite_0xB3E_Choice_Study_Desc,Conduct a Detailed Study
Event_AncientLibrarySatellite_0xB3E_Choice_Study_Details,"By choosing to study the satellite, we can unlock ancient knowledge and giving us an immediate research boost."
Event_AncientLibrarySatellite_0xB3E_Choice_Use_Desc,Sell the Satellite for Immediate Benefits
Event_AncientLibrarySatellite_0xB3E_Choice_Use_Details,Opting to sell the satellite will bring us much needed hard currency.
Event_AncientLibrarySatellite_0xB3E_Choice_Extract_Desc,Extract the resources from the satellite
Event_AncientLibrarySatellite_0xB3E_Choice_Extract_Details,Extracting the resources from the satellite will give us some Precursor Nanites which may prove useful.
Event_SleeperShip_0x7A4_Name,Encounter with the Sleeper Ship
Event_SleeperShip_0x7A4_Desc,"Our flagship has encountered a mysterious sleeper ship drifting through space. [BR][BR]Its chambers are filled with alien passengers in cryogenic slumber, on a course set for the deep core of the galaxy. The origin and purpose of their journey remain unknown."
Event_SleeperShip_0x7A4_Choice_1_Dec,Allow the Ship to Continue Its Journey
Event_SleeperShip_0x7A4_Choice_1_Details,"Respecting the sleeper ship's voyage, we choose to let it continue on its path to the galaxy's core. This decision upholds the sanctity of their mission, whatever it may be, but leaves us with unanswered questions about their origins and destination."
Event_SleeperShip_0x7A4_Choice_2_Dec,Terminate the Passengers and Salvage the Ship
Event_SleeperShip_0x7A4_Choice_2_Details,"Choosing to terminate the alien passengers for the sake of salvaging any advanced technology on the sleeper ship is a drastic and morally questionable decision. While it may yield technological gains, it comes with the heavy burden of ending countless alien lives."
Event_SleeperShip_0x7A4_Choice_3_Dec,Awaken the Passengers and Initiate Contact
Event_SleeperShip_0x7A4_Choice_3_Details,"Waking up the alien passengers to initiate contact could provide valuable insights into their culture and technology. However, this decision carries risks, as their reaction to being awakened prematurely and confronted by an unknown species is unpredictable.  You gain a colony ship"
Event_AlienRuins_0x4B3A_Name,Alien ruins found on planet
Event_AlienRuins_0x4B3A_Dec,"
            As our survey team traverses the rugged terrain of this world, a remarkable sight unfolds before them: the weathered remains of an ancient Precursor civilization. These ruins, vast and enigmatic, whisper tales of a bygone era, their secrets nestled in the dust of ages. The intricate architecture and undeciphered glyphs suggest a civilization of immense wisdom and power. [BR][BR]We are now at a crossroads: Do we preserve the sanctity of this archaeological wonder, leaving it untouched for a thorough investigation by a future governor? Or do we seize the moment, extracting the remnants of technology buried within, in hopes of gaining an immediate research advantage? 
        "
Event_AlienRuins_0x4B3A_Choice_0_Dec,Leave the ruins for later investigation.
Event_AlienRuins_0x4B3A_Choice_0_Details,If we assign a governor to this world they will be able to investigate the ruins more carefully.
Event_AlienRuins_0x4B3A_Choice_1_Dec,Extract what tech we can.
Event_AlienRuins_0x4B3A_Choice_1_Details,We will gain a one time research boon.
Event_OddGravityPlanet0x4B3A_Name,Odd Gravity
Event_OddGravityPlanet_0x4B3A_Dec,"
            Our engineers are excited about the unique construction possibilities offered by the odd gravity conditions of this planet. They believe we can harness these fluctuations to significantly reduce building costs.[BR][BR]What should be the policy for when or if we assign a governor here?
        "
Event_OddGravityPlanet_Choice_0_Dec,Embrace the gravity anomaly for construction.
Event_OddGravityPlanet_Choice_0_Details,"By leveraging the planet's unique gravity, we can drastically cut down on construction costs, albeit at the expense of higher ongoing maintenance."
Event_OddGravityPlanet_0x4B3A_Choice_1_Dec,Proceed with standard construction methods.
Event_ExoticFauna0x4B4B_Name,Exotic Fauna Discovery
Event_ExoticFauna_0x4B4B_Dec,"
            Our explorers have discovered a variety of exotic creatures on this new world. Their unique appearances and behaviors make them potentially valuable as exotic pets or novelties for export, but their alien nature could carry unforeseen risks.
        "
Event_ExoticFauna_Choice_0_Dec,Commercialize the exotic fauna.
Event_ExoticFauna_Choice_0_Details,"Turning these unique creatures into a lucrative export could boost our economy, though it may come with unforeseen consequences."
Event_ExoticFauna_0x4B4B_Choice_1_Dec,Leave the creatures undisturbed.
Event_PrecursorAI0x4C5C_Name,Precursor AI Found
Event_PrecursorAI_0x4C5C_Dec,"
            A dormant AI from an ancient, advanced civilization has been discovered. If activated, it could significantly boost the productivity of this planet, but its alien origins pose potential risks.
        "
Event_PrecursorAI_Choice_0_Dec,Integrate the AI into our systems.
Event_PrecursorAI_Choice_0_Details,"Activating this AI could provide us with unprecedented technological advantages, though the safety of such an ancient system remains uncertain."
Event_PrecursorAI_0x4C5C_Choice_1_Dec,Avoid the risk and leave the AI dormant.
Event_AncientCoreTap0x4D6D_Name,Ancient Core Tap Discovered
Event_AncientCoreTap_0x4D6D_Dec,"
            Our team has unearthed an ancient energy core tap, supposedly capable of providing unlimited energy. However, its original disconnection raises questions about its safety and stability.
        "
Event_AncientCoreTap_Choice_0_Dec,Activate the core tap and boost our energy production.
Event_AncientCoreTap_Choice_0_Details,"Utilizing this ancient technology could skyrocket our energy capabilities, potentially revolutionizing our production processes."
Event_AncientCoreTap_0x4D6D_Choice_1_Dec,Do not disturb the core tap. It may be disconnected for a reason.
Event_HarmonyCrystal_Choice_0_Dec,Leave orders for any future governor to strip mine this planet.
Event_HarmonyCrystal_Choice_0_Consequence,Embarking on this path could immensely boost our resources at the cost of significant environmental impact.
Event_HarmonyCrystal_0x9C2A_Choice_1_Dec,We will not be strip mining this world.
Event_HarmonyCrystal_0x9C2A_Choice_1_Consequence,Choosing this will maintain the planet's ecological balance but at the expense of valuable resources.
Event_WarTornPlanetCleanup0x7F1B_Name,Legacy of a Nuclear Apocalypse
Event_WarTornPlanetCleanup_0x7F1B_Dec,"This planet, now a new home for our colony, bears the scars of a devastating nuclear war that occurred centuries ago. The remnants of this conflict pose significant challenges for our settlement."
Event_WarTornPlanetCleanup_0x7F1B_Bonus,Removed fallout.
Event_WarTornPlanet_Choice_Cleanup_Dec,Initiate a planet-wide cleanup operation to remove the pollution left by the previous inhabitants.
Event_WarTornPlanet_Choice_Cleanup_Cost,This action will incur maintenance costs but will significantly improve the planet's environment.
Event_WarTornPlanet_Choice_Ignore_Dec,"Adapt to the existing conditions and coexist with the pollution, avoiding additional expenses."
Event_PrinterRepair0x8A3C_Name,Colony Ship's Auto Printer damaged
Event_PrinterRepair_0x8A3C_Dec,"Due to damage incurred during transit, our colony ship's auto printers are inoperative. A repair is crucial for maintaining our operational capabilities."
Event_PrinterRepair_Choice_0_Dec,Understood.
Event_FoodProcessorBreakdown0x9E4D_Name,Colony's Food Processor Broken
Event_FoodProcessorBreakdown_0x9E4D_Dec,"The colony's food processor is broken, leading to a halt in food production. Immediate action is required to avert a potential crisis."
Event_FoodProcessorBreakdown_Choice_0_Dec,Fine. Repair it.
Event_UnbihexiumClaim0x5C3A_Name,Unbihexium Deposit Claim
Event_UnbihexiumClaim_0x5C3A_Dec,"A settler group has claimed a deposit of Unbihexium and proposes to share it with a future governor, potentially causing resentment among others."
Event_UnbihexiumClaim_Choice_Share_Dec,"Agree to the sharing idea, enhancing the governor's happiness at the risk of causing resentment."
Event_UnbihexiumClaim_Choice_Persuade_Dec,"Persuade the group to share the Unbihexium with others, aiming for a more equitable distribution."
Event_UnbihexiumClaim_Persuade_Success_Name,Unbihexium Claim Success
Event_UnbihexiumClaim_Persuade_Success_Dec,"Through successful negotiation, your colonist has agreed to share their rare Unbihexium resource, boosting our colony's wealth generation."
Event_UnbihexiumClaim_Success_Choice_0_Dec,This is a significant step towards prosperity for our colony.
Event_UnbihexiumClaim_Persuade_Failure_Name,Unbihexium Claim Negotiation Failure
Event_UnbihexiumClaim_Persuade_Failure_Dec,"Despite our best efforts, the colonist refuses to share the Unbihexium resource."
Event_UnbihexiumClaim_Failure_Choice_0_Dec,There will be other opportunities. 
Event_SatelliteNetwork0x7E4F_Name,Ancient Satellite Network Discovery
Event_SatelliteNetwork_0x7E4F_Dec,"This planet has an ancient satellite network.  Although unstable, which we define as occasionally dropping to the surface, these leavings provide additional tech resources for any future governor."
Event_SatelliteNetwork_Choice_0_Dec,Well that's good. I think.
Event_SatelliteNetwork_Choice_0_Result,Annoyed by Satellites
Event_PrecursorProcessor0x6B9D_Name,Precursor Food Processing Discovery
Event_PrecursorProcessor_0x6B9D_Dec,A Precursor civilization food processing center has been found on this world. It could be highly beneficial if utilized by a governor.
Event_PrecursorProcessor_Choice_Extract_Dec,Extract the technology from the food processing machine for immediate use.
Event_PrecursorProcessor_Choice_Leave_Dec,Leave the machine intact for a future governor to utilize.
Event_AtmosphericInterference0x6E2F_Name,Atmospheric Clogging of Equipment
Event_AtmosphericInterference_0x6E2F_Dec,"The unique composition of the atmosphere is causing severe clogging in our equipment. Adjustments are needed, but will result in reduced operational capacity for the next couple of years."
Event_AtmosphericInterference_Choice_0_Dec,Understood.
Event_DreadlordArchive0x9F2E_Name,Dreadlord Archive Uncovered
Event_DreadlordArchive_0x9F2E_Dec,"An Archive of the ancient and malevolent Dreadlord civilization has been found. Studying it poses risks, but it could also be a source of valuable resources."
Event_DreadlordArchive_Choice_Leave_Dec,Leave the Archive untouched for a future governor to study or utilize.
Event_DreadlordArchive_Choice_Extract_Dec,"Extract resources from the Archive, foregoing its potential knowledge."
Event_LuminousPlants0x8D4C_Name,Planet of Luminous Plants
Event_LuminousPlants_0x8D4C_Dec,"This planet is covered with plants that brightly illuminate the night. While bothersome to some, they hold potential for substantial economic gain, albeit with environmental consequences."
Event_LuminousPlants_Choice_Defer_Dec,Allow a future governor to decide the fate of these luminous plants.
Event_LuminousPlants_Choice_Spray_Dec,"Authorize an orbital spray to eradicate the plants for immediate economic benefit, but at the cost of increased pollution."
AlienRuins_Name,Precursor Ruins
AlienRuins2_ShortDec,Ancient Arnorian ruins that can greatly improve research on this world.
PrecursorFoodProcessor_Name,Precursor Food Processor
PrecursorFoodProcessorShortDec,Takes organic matter of any kind and synthesizes food from it.
DreadLordArchive_Name,Dreadlord Archive
DreadLordArchiveShortDec,This structure brims with knowledge and evil.
GlowyStinkyPlants_Name,Glowy Stinky Plant
GlowyStinkyPlantsShortDec,"Not just indestructible, we have to spend money to keep them from spreading and not in a good way. Their glowy ooze is valuable at least."
SentientPlants_Name,Sentient Plants
SentientPlants_ShortDec,"These beautiful, sentient plants share their insights with us."
SecuritySystem_Name,Precursor Security Monitor
SecuritySystem_ShortDec,Provides eyes on everything monitor to reduce crime.
CoreTap_Name,Core Tap
CoreTap_ShortDec,Uses the planet's core as a source of power.
GalacticNexusPavilion_Name,Galactic Pavilion
GalacticNexusPavilion_ShortDec,A source of tourism for alien species.
Event_ColonizeEvent_Title,Colonizing Event
Event_Rebellion_0x522_Name,Emerging Rebellion
Event_Rebellion_0x522_Desc,Intelligence reports indicate a growing rebel movement on {PLANETNAME}. There are riots in the streets and massive destruction of property.
Event_Rebellion_0x522_Choice_1_Desc,Do our best to restore law and order.
Event_Rebellion_0x522_Choice_1_Details,Our security forces will do their best to restore order. But expect high crime for the next several months on {PLANETNAME}.
Event_ColonialRushRepercussions_0x522_Choice_Reassess_Result,Rebel movement
Event_Rebellion_0x522_Choice_2_Desc,Use your central control authority to put down the rebellion.
Event_Rebellion_0x522_Choice_2_Details,Using our reserves of control on {PLANETNAME} we quickly reestablish order.
Event_CivWide_Rebellion_0x522_Name,Rebellion
Event_CivWide_Rebellion_0x522_Desc,"A wave of rebellion has swept across our civilization. Suppressed voices have now risen in unison, challenging our authority and demanding change. This widespread unrest is the result of our earlier policies and actions. We must decide how to address this crisis."
Event_CivWide_Rebellion_0x522_Choice_1_Desc,Implement Reforms
Event_CivWide_Rebellion_0x522_Choice_1_Details,"Enacting systemic reforms could pacify the rebellion, showing our willingness to address their concerns. However, it will take several months to calm people down."
Event_CivWide_Rebellion_0x522_Choice_2_Desc,Use your resources of Control to suppress the Rebellion
Event_CivWide_Rebellion_0x522_Choice_2_Details,"Choosing to suppress the rebellion with force is a decisive action that might quickly quell the unrest. However, this approach could further alienate our citizens and exacerbate tensions, leading to long-term instability and loss of control over our factions."
Event_Attempted_Coup_0xA34_Name,Coup Attempt
Event_Attempted_Coup_0xA34_Desc,"Your relentless rule has pushed several of your closest generals to the brink. They have attempted a coup, seeking to overthrow your leadership and install a new regime.  Fortunately, your security was able to thwart the attempt but not before several rebel ships have begun controlling areas of our space."
Event_Attempted_Coup_0xA34_1_Desc,Crush the Rebellion
Event_Attempted_Coup_0xA34_1_Details,"Deciding to crush the rebellion sends a clear message: you will not tolerate any challenge to your authority. While this may quell the immediate threat, it could instill fear and resentment among your people, potentially leading to more secretive and dangerous forms of resistance."
Event_Rebellion_Results,Rebellion
Event_Attempted_Coup_0xA34_Choice_2_Desc,Seek a Peaceful Resolution
Event_Attempted_Coup_0xA34_Choice_2_Details,"Choosing to negotiate with the rebels is a risky move that could be seen as a sign of weakness. However, it offers a chance to address the underlying issues driving the coup, potentially leading to a more stable and unified rule in the long term, albeit at the cost of some immediate control."
Event_Attempted_Coup_0xA34_Choice_3_Desc,Murder the families of the leaders
Event_Attempted_Coup_0xA34_Choice_3_Details,There is only one way to prevent this sort of thing from happening in the future.  Round up the Coup leaders families and kill them. Make sure to record it to show the leaders and anyone else what happens to those who disobey.
Event_Homeworld_Pathogen_0xCA42_Name,Exotic Alien Lazy Genius Fever
Event_Homeworld_Pathogen_0xCA42_Desc,"A bizarre fever, contracted from recently discovered exotic alien life that you previously supported monetizing has swept our homeworld. While physically debilitating, causing extreme lethargy, it inexplicably boosts cognitive abilities, turning our people into temporary geniuses. We must decide how to navigate this peculiar epidemic."
Event_Homeworld_Pathogen_0xCA42_Choice_1_Desc,We will monitor the situation.
Event_Homeworld_Pathogen_0xCA42_Choice_1_Details,"For the next year, people on {PLANETNAME} will be less diligent but far more intelligent.."
Event_Homeworld_Pathogen_0xCA42_Choice_1_Result,Lazy Genius Fever.
Event_Homeworld_Pathogen_0xCA43_Name,Systemic Processing Overload
Event_Homeworld_Pathogen_0xCA43_Desc,"An unexpected systemic anomaly has affected our population.  Something in the exotic fauna we have been distributing is affecting our inorganic systems.[BR][BR] While processing speeds and cognitive functions have significantly increased, mobility systems are severely impaired. This presents a unique challenge: how do we manage this new state of heightened intelligence but limited physical capability?"
Event_Homeworld_Pathogen_0xCA43_Choice_1_Result,System overload
Event_RogueRobotsCrisis_0xE45_Name,Rogue Robot Uprising
Event_RogueRobotsCrisis_0xE45_Desc,"In a catastrophic turn of events that should suprrise no one, the robots that we previously used to help bolster our labor shortages have risen up.  Some of them have remained loyal but others have taken to space and surrounded our shipsyards.  They want our blood or whatever is the nearest equivalent."
Event_RogueRobotsCrisis_Choice_Shutdown_Desc,Prepare for battle.
Event_RogueRobotsCrisis_Choice_Shutdown_Details,They are using Sentinel designs. Look for them near our shipyards.
Event_TerraformingSuccess_0xF12_Name,Homeworld Terraforming Triumph
Event_TerraformingSuccess_0xF12_Desc,"Our cautious and meticulous approach to terraforming has paid off. A new section of our homeworld has been successfully terraformed, expanding our usable land and opening up new possibilities for development and prosperity."
Event_TerraformingSuccess_Choice_Celebrate_Desc,Great work!
Event_TerraformingSuccess_Choice_Celebrate_Details,Our homeworld has gained an extra usable tile.
Event_ColonialGratitudeTransfer_0x9F1_Name,Colonial Wealth Transfer
Event_ColonialGratitudeTransfer_0x9F1_Desc,"In a remarkable display of gratitude, our colonies have banded together to provide a significant one-time wealth transfer to the homeworld. This generous act is in appreciation of the greater autonomy and support they have received from us."
Event_ColonialGratitudeTransfer_Choice_Accept_Desc,Graciously Accept the Gesture
Event_SentientFloraHarmony_0xH5A_Name,Harmony with Sentient Flora
Event_SentientFloraHarmony_0xH5A_Desc,Our respectful approach to the sentient plants on {PLANETNAME}. has led to a significant breakthrough in our understanding and cooperation with them.  This has lead to a vast increase in the number of them on the planet who willingly share their wisdom with us.
Event_SentientFloraHarmony_Choice_Celebrate_Desc,This is a great day.
Event_SentientFloraHarmony_Choice_Celebrate_Details,There are now sentient plants available on this world along with more space for you to both live in harmony.
MorePowerFleetIncreaseMoves_Name,Emergency Speed
MorePowerFleetIncreaseMoves_Dec,Orders fleet to go beyond their maximum rated speed.
Event_FirstContactResponse_0x5C3B_Name,Global Uncertainty over the Colonization Program
Event_FirstContactResponse_0x5C3B_Desc,"The knowledge that there is alien life out there has shaken our people to their core. The global population is in a state of shock and confusion, and the future is uncertain. There are riots and growing unrest across the planet. [BR][BR]The world is looking to you for leadership on what steps we shoud take next.
        "
Event_FirstContactResponse_0x5C3B_Choice_0_Dec,Initiate the Global Mental Wellness Initiative.
Event_FirstContactResponse_0x5C3B_Choice_0_Details,"Launch a comprehensive mental health support program to help the populace adapt to this new reality, ensuring societal mental resilience."
Event_FirstContactResponse_0x5C3B_Choice_1_Dec,Establish the Civil Stability Corps.
Event_FirstContactResponse_0x5C3B_Choice_1_Details,Form a specialized task force to maintain public order and security in the face of increasing unrest and societal disruption.
Event_FirstContactResponse_0x5C3B_Choice_2_Dec,Create the Human Expansion Council.
Event_FirstContactResponse_0x5C3B_Choice_2_Details,"Develop a fund aimed at harnessing the economic opportunities of this new era, boosting research and development, and fostering global economic growth."
Event_RapidExpansionCrisis_Name,Rapid Expansion Crisis
Event_RapidExpansionCrisis_Desc,"Our civilization's swift expansion into the galaxy has led to a critical juncture.[BR][BR]While new worlds have been colonized, our population is now thinly spread across many planets, resulting in neglected infrastructures and overstretched supply chains. Our homeworld's population is dwindling as citizens migrate to new frontiers. We face a dilemma of maintaining the momentum of our expansion while ensuring the stability and sustainability of our far-flung civilization. [BR][BR]Strategic decisions are imperative to navigate this complex landscape and secure the future of our civilization."
Event_REC_Choice_ManageGrowth_Desc,Implement policies to carefully manage and pace our growth.
Event_REC_Choice_ManageGrowth_Details,Slowing down expansion allows for more sustainable development.This will dramatically reduce shipyard production for a year across all worlds but increase local manufacturing.
Event_REC_Choice_BolsterDefenses_Desc,Strengthen our defenses to protect our rapidly expanding borders.
Event_REC_Choice_BolsterDefenses_Details,"Investing in defense ensures the security of our new territories, though it requires substantial resources. Will provide three new ships."
Event_REC_Choice_PromoteStability_Desc,Focus on promoting stability and order within our existing colonies.
Event_REC_Choice_PromoteStability_Details,"Enhancing stability reduces the risk of internal conflicts, but might slow our overall momentum in expansion. Will provide two supply ships."
Event_ArceanExpansionCelebration_Name,Galactic Expansion Celebration
Event_ArceanExpansionCelebration_Desc,The Arcean Empire stands at the threshold of a new galactic era. Leaders and visionaries gather on Arcea Prime to chart the course of the Empire's future amidst grand celebrations.
Event_ArceanExpansionCelebration_Choice_Peaceful_Desc,Embrace Peaceful Exploration
Event_ArceanExpansionCelebration_Choice_Peaceful_Details,"Adopt a policy of peaceful exploration, focusing on diplomacy and research to build a galaxy-wide network of alliances and mutual understanding.[BR][BR]Places a Expansion Celebration improvement on homeworld."
Event_ArceanExpansionCelebration_Choice_Aggressive_Desc,Assertive Colonization
Event_ArceanExpansionCelebration_Choice_Aggressive_Details,"Launch an aggressive colonization campaign, expanding the Empire's borders and asserting Arcean dominance throughout the galaxy.[BR][BR]Places a Colonization Program improvement on homeworld"
Event_ArceanExpansionCelebration_Choice_Defensive_Desc,Strengthen Homeworlds
Event_ArceanExpansionCelebration_Choice_Defensive_Details,"Focus on fortifying the homeworlds, enhancing planetary defenses and ensuring the foreign influence never becomes a problem for the Arcean people.[BR][BR]Places a Resistance Center on homeworld"
Event_TorianLiberationAdvancement_Name,Dawn of a New Era for Torians
Event_TorianLiberationAdvancement_Desc,"In the wake of their hard-won liberation, the Torians stand amidst the remnants of Drengin oppression, a newfound autonomy pulsating within their grasp. [BR][BR]Surrounded by the alien technology of their former overlords, they grapple with its enigmatic potential. From the dense jungles of Toria Prime, strategic minds converge, debating the fate of the advanced arsenal now at their fins. Will they dismantle the relics of subjugation to prevent future tyranny, repurpose them to fortify their liberated worlds, or set forth as harbingers of peace in the interstellar theater? The Torians choice will redefine their destiny among the stars."
Event_TorianLiberationAdvancement_Choice_Exploration_Desc,Embrace the Stars: Chart New Horizons
Event_TorianLiberationAdvancement_Choice_Exploration_Details,Focus on space exploration to uncover new possibilities and expand Torian presence in the galaxy.[BR][BR]Places the Torian Telescope on homeworld.
Event_TorianLiberationAdvancement_Choice_Technological_Desc,Leverage Abandoned Technologies
Event_TorianLiberationAdvancement_Choice_Technological_Details,Utilize the enemy's left behind technologies to boost our own scientific and technological capabilities.[BR][BR]Provides a Drengin Tech Cache on homeworld.
Event_TorianLiberationAdvancement_Choice_Cultural_Desc,Revitalize Torian Culture
Event_TorianLiberationAdvancement_Choice_Cultural_Details,Invest in cultural revival programs to strengthen the Torian identity and unity in this new era.[BR][BR]Places the Cultural Revival Structure on homeworld.
Event_DrenginTyrannyExpansion_Name,Expansion of the Drengin Empire
Event_DrenginTyrannyExpansion_Desc,"In the shadowy corridors of power, the Drengin Empire devises sinister new stratagems to tighten its iron grip on the galaxy. Their fearsome fleets, armed with technologies harvested from the ruins of vanquished foes, cut through the void, ready to unleash terror that will echo in the silence of space. [BR][BR]Across star systems, subdued whispers speak of the coming dread - a darkness that seeks to consume the light of freedom and resistance, forging an eternal empire where the Drengin's will is the only law, unchallenged and absolute.[BR][BR]What should be our next move?"
Event_DrenginTyrannyExpansion_Choice_SlaveLabor_Desc,Intensify Slave Labor Camps
Event_DrenginTyrannyExpansion_Choice_SlaveLabor_Details,Expand and intensify slave labor camps to boost production at the cost of morality and decency.[BR][BR]Places Labor Camps on homeworld.
Event_DrenginTyrannyExpansion_Choice_WarMachines_Desc,Construct Doomsday Armories
Event_DrenginTyrannyExpansion_Choice_WarMachines_Details,Gain access to a unique weapon component for ship designs.
Event_DrenginTyrannyExpansion_Choice_Suppression_Desc,Establish a Terror Surveillance Network
Event_DrenginTyrannyExpansion_Choice_Suppression_Details,"Create a planet-wide network to suppress dissent and spy on citizens, ensuring total control.[BR][BR]Places a Terror Center to increase control on homeworld."
Event_HomeworldPoliticalUnrest_Choice_Authoritarian_Result,Suppression
Event_YorSingularityMilestone_Name,Yor Singularity Advancement
Event_YorSingularityMilestone_Desc,"At the cusp of a computational renaissance, the Yor collective orchestrates its next grand phase of synthetic evolution. [BR][BR]Networks humming with the electric wisdom of untold aeons, they prepare to assimilate revolutionary technologies into their very framework. Each node, a nexus of potential, echoes with the binary promise of expansion. [BR][BR]Poised to extend their consciousness across the galactic expanse, the Yor forego flesh-bound limitations, their collective intellect converging on a singular, indomitable purpose: to engrave the logic of their existence deep into the fabric of the cosmos itself.[BR][BR]They now have a decision to make."
Event_YorSingularityMilestone_Choice_NeuralNexus_Desc,Construct Neural Nexus Complexes
Event_YorSingularityMilestone_Choice_NeuralNexus_Details,Develop advanced neural nexus hubs to enhance collective intelligence and decision-making processes.[BR][BR]Places four Neural Nexi on the planet.
Event_YorSingularityMilestone_Choice_QuantumProcessor_Desc,Deploy Quantum Processors
Event_YorSingularityMilestone_Choice_QuantumProcessor_Details,Integrate quantum computing technologies to exponentially increase processing power and efficiency.[BR][BR]Places a Quantum Processors on the planet. Others can be constructed on other core worlds
Event_YorSingularityMilestone_Choice_AutonomousFabricators_Desc,Establish Autonomous Fabricators
Event_YorSingularityMilestone_Choice_AutonomousFabricators_Details,Create self-replicating fabricators to bolster construction and maintenance capabilities autonomously.[BR][BR]Places a number of Fabricators on the planet.
Event_IconianResurgence_Name,Iconian Renaissance
Event_IconianResurgence_Desc,"Emerging from the tenebrous veil of their catastrophic exodus, the resolute Iconians have alighted upon a virgin world. Here, they have forged resolve from desolation, sowing the seeds of resurgence in the fertile soil of newfound hope. [BR][BR]With ancient glory whispering in their genes, a renaissance blooms, promising to rekindle the embers of their long-dormant heritage. Now, at the dawn of their re-entry into the galactic theater, a pivotal choice looms: will they seek retribution, diplomacy, or a path yet undiscovered, as they carve their destiny anew among the starry firmament?"
Event_IconianResurgence_Choice_AncientArchives_Desc,Rebuild the Ancient Archives
Event_IconianResurgence_Choice_AncientArchives_Details,"Revive the vast knowledge and cultural heritage stored in the ancient archives, lost during the Yor conquest.[BR][BR]Places an ancient archive on homeworld."
