Label,String
VisitorCenter_ShortDec,"An inviting facility tailored for interstellar guests, combining comfort with cultural diversity."
MasterTech_XenoHospitality_Name,Xeno Hospitality
MasterTech_XenoHospitality_ShortDec,Enhances inter-species understanding and trade efficiency.
MasterTech_XenoHospitality_Dec,"This technology delves deep into understanding alien cultures, from adapting to their environmental needs to mastering intricate social customs. It's a pivotal step in fostering robust diplomatic relations and seamless trade, ensuring that interactions are respectful, productive, and mutually beneficial."
Tech_EconomicDevelopment_Name,Economic Development
Tech_EconomicDevelopment_ShortDec,Provides economic growth for our civilization.
Tech_EconomicDevelopment_Dec,"As our civilization adapts to being multiplanetary, we find ourselves at a crossroads, necessitating a profound reimagining of our economic and philosophical foundations. This technology is better described as a massive thesis put together by our greatest minds. It is not just a tool; it's a paradigm shift, reshaping our understanding of resource allocation, security, and interstellar cooperation.[BR][BR]The first step in this journey is the reconceptualization of space-time as a fundamental aspect of our supply chains. Distances once thought insurmountable now form the veins through which the lifeblood of our economy flows, connecting distant worlds with exotic resources. This requires an innovative approach to logistics and resource prioritization, where the traditional notions of proximity and accessibility are replaced by a holistic view of galactic abundance.[BR][BR]This expansion also brings us into contact with alien civilizations, each with their unique economic systems and philosophical doctrines. It challenges us to redefine 'security' beyond the militaristic, considering the protection of our supply lines, intellectual properties, and the ethical implications of resource extraction. Here, economists and philosophers alike ponder the balance between competition and cooperation, scarcity and sustainability, in a universe abundant yet divided.[BR][BR]Moreover, the interaction with alien cultures enriches our own economic and philosophical discourse. We are now examining concepts like value and wealth not as absolutes but as constructs that can vary dramatically between different sentient beings. This has given rise to new economic models that factor in not just material wealth but also cultural and intellectual richness, fundamentally altering how we perceive trade, diplomacy, and interstellar relations.[BR][BR]In essence, the Economic Development technology is a reflection of our evolving identity as a species — one that now looks beyond planetary horizons and sees not just challenges, but a tapestry of opportunities that span the cosmos. It's a journey that redefines what it means to be human in an era of interstellar coexistence and cosmic exploration."
Policy_SellSurplusFood_Name,Export Food
Policy_SellSurplusFood_Dec,A small amount of food is exported from each world for wealth to each world.
Policy_EconomicDevelopment_Name,Economic Development
Policy_EconomicDevelopment_Dec,Develops the economy of each of our worlds.
FleetShieldModule_Name,Fleet Shield
FleetShieldModule_Dec,Provides its shields to every ship in the fleet
ALERT_OtherCloseToInfluenceVictory_InfluenceLevel,"{OBJECTNAME} controls {AMOUNT}%% of the galaxy, and is nearing an Influence Victory."
UISize_Tiny,Small
SHIPS_IN_DEFENDER_TERRITORY_TELEPORTED_TITLE,Fleets Moved Outside Enemy Territory
SHIPS_IN_DEFENDER_TERRITORY_TELEPORTED_MESSAGE,Fleets that you had in territory belonging to the {PLAYERFACTION} have been relocated to be outside their borders.
TRIGGERFOCUS_CAPITALWORLD, to our Capital World
TRIGGERFOCUS_UNITS_CAPITALWORLD, to Units on our Capital World
TRIGGERFOCUS_ALL_OUR_UNITS, to all our Units
TRIGGERFOCUS_THEIR_UNITS_CAPITALWORLD, to Units on their Capital World
TRIGGERFOCUS_ALL_THEIR_UNITS, to all their Units
TRIGGERFOCUS_SECONDARYPLAYER, to them
TRIGGERFOCUS_THEIR_CAPITALWORLD, to their Capital World
TRIGGERFOCUS_US_HEADER,We Get: 
TRIGGERFOCUS_THEM_HEADER,They Get: 
TRIGGERFOCUS_ALL_SHIPS_SORTED, to all Ships
TRIGGERFOCUS_ALL_COLONIES_SORTED, to all worlds
TRIGGERFOCUS_CAPITALWORLD_SORTED, to Capital World
TRIGGERFOCUS_UNITS_CAPITALWORLD_SORTED, to Units on Capital World
TRIGGERFOCUS_ALL_UNITS_SORTED, to all Units
QUICKPLAY_BATTLE_MP_WAITING_FOR_OTHER_PLAYER,Battle In Progress
CIV_BUILDER_ALIEN_GPT_DISABLED,Get Supernova to enable AlienGPT!
