Label,String
WarOfConquest_Name_5,{PLAYERFACTION:1} Conquest Campaign
WarOfAnnihilation_SimpleName,War of Annihilation
WarOfAnnihilation_Name_2,End of the {PLAYERFACTION:2}
WarOfAnnihilation_Name_3,{PLAYERFACTION:1} - {PLAYERFACTION:2} War
WarOfAnnihilation_Name_4,The {PLAYERFACTION:2} War of Annihilation
WarOfAnnihilation_Name_5,{PLAYERFACTION:1} Eradication Campaign
Hotspot_WeaponCooldown_Label,Weapon Cooldown
Hotspot_WeaponCooldown_Desc,Weapon Cooldown is the time it takes for a weapon to rearm. It measures the number of Turns in combat between shots. Reducing Weapon Cooldown allows a weapon to fire more frequently.
ConquestBonus_SourceFallback,Conquest Rating Bonus
Tactic_EstimatedDuration_Label,Estimated Duration:
Tactic_EstimatedDuration_ValueFormat,{AMOUNT} Months
Tactic_DuringSiege_Header,During Siege
Tactic_AfterSiege_Header,After Siege
Tactic_Format_FlatBonus,[COLOR={TINTCOLOR}]{VALUE} {STATNAME}[/COLOR]
Tactic_Format_MultBonus,[COLOR={TINTCOLOR}]{VALUE}% {STATNAME}[/COLOR]
Tactic_Format_KilledCitizens,Kills {AMOUNT}% of citizens
Tactic_Format_DestroyedImps,Kills {AMOUNT}% of improvements
Tactic_Format_BombardedTiles,Ravages {AMOUNT}% of planet tiles
Tactic_Format_ChangedTiles,Changes {AMOUNT}% of planet tiles into {CHANGEDTILELIST}
InvasionReport_Label_KilledUnits,[ICON=InvasionResults_KilledCitizens] Citizens Killed
InvasionReport_Label_BombardedTiles,[ICON=InvasionResults_BombardedTiles] Tiles Bombarded
InvasionReport_Title_ChangedTiles,[ICON=InvasionResults_BombardedTiles] Changed Tiles
Tactic_Format_LiberateDescription,"Create splinter faction, with {VALUE} [HS=HS_Diplomacy]Diplomacy[/HS] for {DURATION} Months"
InvasionReport_Label_LiberateOwner,[ICON=InvasionResults_NewFactionOwner] New Faction
InvasionReport_Liberate_Description,{VALUE} [HS=HS_Diplomacy]Diplomacy[/HS] for {DURATION} Months
InvasionTactic_PlanetaryAssault_Name,Planetary Assault
InvasionTactic_PlanetaryAssault_Description,Follow general siege protocol to wear down the planet and eventually exert a total claim over the planet. Siege protocol focuses on minimizing casualties and collateral damage.
InvasionTactic_PlanetaryAssault_OnConqueredEffects,Assault Conquered
InvasionTactic_OrbitalBombardment_Name,Orbital Bombardment
InvasionTactic_OrbitalBombardment_Description,Use ship-mounted artillery to wreak havoc and destruction across the planet. The devastation caused by an orbital bombardment makes a world easier to conquer at the cost of favor and infrastructure.
InvasionTactic_OrbitalBombardment_OnConqueredEffects,Bombardment Conquered
InvasionTactic_Propaganda_Name,Propaganda
InvasionTactic_Propaganda_Description,"Employ psychological and media tactics to win the hearts and minds of the populace. Slowly bring the citizenry to accept their change in ownership, preserving morale, life, and infrastructure."
InvasionTactic_Propaganda_OnConqueredEffects,Propaganda Conquered
InvasionTactic_BiologicalAttacks_Name,Biological Attacks
InvasionTactic_BiologicalAttacks_Description,Use genetically engineered pathogens targeted at the citizenry. Facilitate a faster invasion without damaging the existing infrastructure but make the planet less inhabitable by organic life.
InvasionTactic_BiologicalAttacks_OnConqueredEffects,Biological Attack Conquered
InvasionTactic_EMPAttacks_Name,EMP Attacks
InvasionTactic_EMPAttacks_Description,Use targeted EMP bursts to disrupt production and damage synthetic citizens. Facilitate a faster invasion without damaging the existing infrastructure but slow down manufacturing and damage tech.
InvasionTactic_EMPAttacks_OnConqueredEffects,EMP Attack Conquered
InvasionTactic_ShatterAttacks_Name,Shatter Attacks
InvasionTactic_ShatterAttacks_Description,Use target frequencies that cause physical damage to silicon-based lifeforms. Facilitate a faster invasion without damaging the existing infrastructure but damaging the planet's raw materials.
InvasionTactic_ShatterAttacks_OnConqueredEffects,Shatter Attack Conquered
InvasionTactic_SurfaceInvasions_Name,Surface Invasions
InvasionTactic_SurfaceInvasions_Description,"Put units on the planet's surface to conduct an invasion. Units can minimize infrastructure damage, but the ensuing battles will cost some lives and those that survive will take longer to adapt to new authority."
InvasionTactic_SurfaceInvasions_OnConqueredEffects,Surface Invasion Conquered
InvasionTactic_AnnihilateTargets_Name,Annihilate Targets
InvasionTactic_AnnihilateTargets_Description,Show no mercy. Unleash all havoc upon the planet. Bombard it with artillery and send in the troops to eliminate resistance. Use efficiency and brutality to ensure nothing of the enemy remains at the end of the siege.
InvasionTactic_Liberate_Name,Liberate
InvasionTactic_Liberate_Description,Bring freedom to the people. Carefully choose targets and utilize propaganda tactics to revoke the authority of the current owner. The planet will not be conquered but instead will be allowed to become its own faction.
MasterTech_Weapons_Name,Weapons
MasterTech_Weapons_ShortDec,Allows adding weapons to our ships.
MasterTech_Weapons_Dec,Allows adding weapons to our ships.
MasterTech_Defense_Name,Defense
MasterTech_Defense_ShortDec,Allows adding defenses to our ships.
MasterTech_Defense_Dec,Allows adding defenses to our ships.
MasterTech_Conquest_Name,Conquest
MasterTech_Conquest_ShortDec,Allows the invasion of other worlds.
MasterTech_Conquest_Dec,Allows the invasion of other worlds.
Tech_Sanctuary_Name,Sanctuary
MasterTech_ExperimentalWeapons_Name,Experimental Weapons
MasterTech_ExperimentalWeapons_ShortDec,Frontiers in armament technology and materials science.
MasterTech_ExperimentalWeapons_Dec,"By harnessing the latest in quantum computing and nanomaterials, 'Experimental Weapons' offers a leap forward in armaments, enabling the creation of devices with unprecedented destructive capability and precision. This technology not only pushes the boundaries of known physics but also opens up new strategies in warfare, ensuring that our fleets hold the upper hand in any encounter."
MasterTech_AssaultShuttles_Name,Assault Shuttles
MasterTech_AssaultShuttles_ShortDec,Rapid deployment and boarding capabilities.
MasterTech_AssaultShuttles_Dec,"The advent of Assault Shuttles marks a new era in tactical warfare, offering unmatched speed and agility for deploying troops directly into the heart of enemy territory. These advanced crafts are designed for quick strikes and fast extractions, enabling our forces to dominate space-to-ground engagements."
MasterTech_IonWeapons_Name,Ion Weapons
MasterTech_IonWeapons_ShortDec,Advanced armaments that destabilize at the molecular level.
MasterTech_IonWeapons_Dec,"Ion Weapons technology harnesses highly charged particles to disrupt enemy systems and infrastructure. By striking targets with beams of ions, these weapons can penetrate shields more effectively than conventional arms, causing internal damage that is both swift and devastating."
MasterTech_TimeDilationWeapons_Name,Time Dilation Weapons
MasterTech_ExoticEnergies_Name,Exotic Energies
MasterTech_ExoticEnergies_ShortDec,Harnessing the unknown for advanced power applications.
MasterTech_ExoticEnergies_Dec,"Exotic Energies technology represents a breakthrough in the understanding and application of energy forms beyond the standard spectrum. This advancement allows for the creation of weapons, shields, and power sources with capabilities far exceeding current limits, opening new avenues for exploration, defense, and warfare."
MasterTech_TimeDilationWeapons_ShortDec,Warping time to dominate battles.
MasterTech_TimeDilationWeapons_Dec,"Time Dilation Weapons leverage the manipulation of time to disorient and neutralize opponents. By creating localized fields where time flows at a dramatically altered rate, these weapons can effectively incapacitate enemy forces, equipment, and defenses, providing a significant advantage in any conflict scenario."
MasterTech_NaniteDefenseSystems_Name,Nanite Defense Systems
MasterTech_CloakingDevices_Name,Cloaking Devices
MasterTech_CloakingDevices_ShortDec,Mastering the art of invisibility.
MasterTech_CloakingDevices_Dec,"Cloaking Devices represent a pinnacle in stealth technology, enabling ships and structures to become virtually invisible to the naked eye and radar detection. This tech not only provides a strategic advantage in evading enemy surveillance and attacks but also opens up new possibilities for reconnaissance and surprise maneuvers, fundamentally altering the dynamics of warfare and espionage."
MasterTech_TheronicWeaponry_Name,Theronic Weaponry
MasterTech_TheronicWeaponry_ShortDec,Harnessing thermo-nuclear reactions for unparalleled destruction.
MasterTech_TheronicWeaponry_Dec,"Theronic Weaponry integrates advanced thermo-nuclear fusion processes to create weapons of unprecedented power. This technology allows for the construction of arms that can unleash devastating energy blasts, capable of annihilating entire fleets or obliterating planetary defenses in a single strike, marking a new era in warfare technology."
MasterTech_NaniteDefenseSystems_ShortDec,Microscopic guardians for macroscopic security.
MasterTech_NaniteDefenseSystems_Dec,"Nanite Defense Systems utilize swarms of microscopic robots to protect and repair spacecraft and infrastructure. These nanites can quickly respond to breaches, structural damage, or incoming projectiles, offering a dynamic and adaptive layer of defense that significantly enhances survivability in the face of enemy aggression."
MasterTech_NeutronWeapons_Name,Neutron Manipulation
MasterTech_NeutronWeapons_ShortDec,Enables the distortion of subspace reducing enemy targeting abilities.
MasterTech_NeutronWeapons_Dec,"Neutron Manipulation marks a significant leap forward in strategic warfare, utilizing neutron emission to inflict maximum interference on enemy sensor equipment. This precision makes them particularly effective in neutralizing targets where the goal is to get close before striking. If they can't hit you, you can get closer."
MasterTech_DamageReflection_Name,Damage Reflection
MasterTech_DamageReflection_ShortDec,Turn the tide by using enemy forces against them.
MasterTech_DamageReflection_Dec,"Damage Reflection technology represents a paradigm shift in defensive capabilities, enabling the absorption and redirection of incoming energy attacks back towards the aggressor. This not only provides a robust layer of protection but also introduces a psychological deterrent, as adversaries must now consider the potential repercussions of their assaults being turned against them."
MasterTech_Shocktroopers_Name,Shocktroopers
MasterTech_Shocktroopers_ShortDec,Elite troops for boarding enemy starships.
MasterTech_Shocktroopers_Dec,"Shocktroopers are the vanguard of modern interstellar warfare, equipped with heavy-duty armor and cutting-edge weaponry designed for rapid starship assault and breaching operations. Trained to operate in any environment, these elite units specialize in delivering a decisive first strike, overwhelming enemy defenses with sheer firepower and tenacity."
MasterTech_BiologicalTargeting_Name,Biological Targeting
MasterTech_BiologicalTargeting_ShortDec,Precision weaponry tailored to enemy vulnerabilities.
MasterTech_BiologicalTargeting_Dec,"Biological Targeting technology revolutionizes warfare by enabling the development of weapons systems that can identify and exploit the specific biological weaknesses of different alien species. This approach allows for unprecedented efficiency in combat, minimizing collateral damage and ensuring that engagements are as brief as they are decisive."
MasterTech_DesperateMeasures_Name,Desperate Measures
MasterTech_DesperateMeasures_ShortDec,Last-resort weaponry for existential threats.
MasterTech_DesperateMeasures_Dec,"In the face of overwhelming threats to our civilization's very existence, Desperate Measures encompasses the development and deployment of extreme weapons. These are designed without regard for the usual constraints of warfare, targeting alien species indiscriminately to ensure survival at any cost. Such weapons are a testament to the dire situations that necessitate their creation, marking a dark chapter in the annals of interstellar conflict."
MasterTech_Logistics_Name,Logistics
MasterTech_Logistics_ShortDec,Optimizing supply chains for maximum efficiency.
MasterTech_Logistics_Dec,"Logistics technology represents a comprehensive approach to managing the flow of resources, personnel, and information across vast interstellar distances. By integrating advanced AI algorithms, predictive analytics, and real-time monitoring systems, this advancement ensures that our supply chains are optimized for efficiency, resilience, and adaptability, enabling our civilization to thrive in the face of logistical challenges."
NeuroflexPlating_Name,Neuroflex Plating
NeuroflexPlating_Dec,Increases Armor Rating
DiamonicCompositeArmor_Name,Diamonic Composite Armor
DiamonicCompositeArmor_Dec,Increases Armor Rating
CommandModule_Name,Command Ship Module
CommandModule_Dec,A special module required in order to enable Command Ship class ships.
CorvetteModule_Name,Corvette Module
CorvetteModule_Dec,A special module required in order to enable Corvette class ships.
DestroyerModule_Name,Destroyer Module
DestroyerModule_Dec,A special module required in order to enable Destroyer class ships.
CarriershipModule_Name,Carrier Module
CarriershipModule_Dec,A special module required in order to enable Carrier class ships.
IonGun_Name,Ion Cannon
IonGun_Dec,TM and E ltd. EN-4211 Targeted Ionized Delivery System.[BR][BR]Fires an ionized blast of energy to disable a target's [HS=HS_PointDefense]Evasion[/HS] capabilities.
TimeDilator_Name,Time Dilator
TimeDilator_Dec,"GravLabs Project 328 ""The Time Dilator.""[BR][BR]Uses intense bursts of gravitation to warp time dilation in a localized area to halt the cooldown of a target's weapons, resulting in a significantly reduced rate of fire."
CloakingDevice_Name,Cloaking Device
CloakingDevice_Dec,"TM and E ltd. MI-4335 Acquisition Disruption System.[BR][BR]Deploys a combination of visual and instrument manipulation to cloak the equipped ship, rendering the ship un-targetable by enemy weapons."
NeutronScrambler_Name,Neutron Scrambler
NeutronScrambler_Dec,"GravLabs Project 152 ""The Neutron Scrambler.""[BR][BR]Excites the particles around a target to reduce the target's [HS=HS_Accuracy]Accuracy[/HS]."
TheronRay_Name,Theron Ray
TheronRay_Dec,Radiates a beam that disorients targets to such a degree it causes them to take increased damage. Only affects [HS=HS_CarbonBased]Carbon Based[/HS] lifeforms.
ShatteringPulse_Name,Shattering Pulse
ShatteringPulse_Dec,Emits signals that disorient targets to such a degree that it causes them to take increased damage. Only affects [HS=HS_SiliconBased]Silicon Based[/HS] lifeforms.
UVField_Name,UV Field
UVField_Dec,Produces emissions that disorient targets to such a degree that it causes them to take increased damage. Only affects [HS=HS_AmmoniaBased]Ammonia Based[/HS] lifeforms.
VampireModule_Name,Vampire Module
VampireModule_Dec,"Meridoc Vampire Module.[BR][BR] Enhances the functionality of all weapons on the equipped ship, allowing damage done to targets to be absorbed and converted into repairs for the equipped ship."
ShieldBubble_Name,Shield Bubble
ShieldBubble_Dec,"Provides shielding to the equipped ship's allies. At the start of combat, the Shield Bubble ensures all ships in fleet have a shield at least as strong as a percentage of the equipped ship's shield strength. Ships with stronger shields are unaffected."
RepairNaniteCloud_Name,Repair Nanite Cloud
